scenario,status,time,actions,cost,block_port,patch_service,migrate_service,disable_service,restore_service,open_new_port,block_for_maintenance
01_all_actions_basic,SUCCESS,1.515,8,65,2,1,1,0,1,2,1
02_deps_all_actions,SUCCESS,1.574,5,50,2,0,1,1,0,1,0
03_enterprise_mixed,SUCCESS,5.876,19,140,5,3,2,3,2,2,2
04_security_incident,SUCCESS,5.083,12,119,4,1,3,2,0,2,0
05_healthcare_gdpr,SUCCESS,5.549,16,133,6,1,1,2,1,4,1
06_financial_pci,SUCCESS,9.671,16,138,5,1,3,4,1,1,1
07_stress_test,SUCCESS,29.241,34,323,12,1,7,7,1,5,1
08_impossible,UNSOLVABLE,0.826,0,0,0,0,0,0,0,0,0
