scenario,status,time,actions,cost,block_port_firewall,disable_service,migrate_service,patch_service,reuse_service
01_all_actions_basic,SUCCESS,2.8,5,50,1,0,2,1,1
02_deps_all_actions,SUCCESS,3.984,5,53,2,1,1,0,1
03_enterprise_mixed,SUCCESS,13.247,13,125,5,3,2,1,2
04_security_incident,SUCCESS,11.944,12,118,4,2,3,1,2
05_healthcare_gdpr,SUCCESS,12.076,13,140,5,2,2,1,3
06_financial_pci,SUCCESS,21.391,14,118,5,4,3,1,1
07_stress_test,SUCCESS,54.048,31,295,12,7,7,1,4
08_impossible,UNSOLVABLE,0.807,0,0,0,0,0,0,0
